
3229778432 bytes (3.2 GB, 3.0 GiB) copied, 310 s, 10.4 MB/s
3240100352 bytes (3.2 GB, 3.0 GiB) copied, 311 s, 10.4 MB/s
3250422272 bytes (3.3 GB, 3.0 GiB) copied, 312 s, 10.4 MB/s
3261235712 bytes (3.3 GB, 3.0 GiB) copied, 313 s, 10.4 MB/s
3271717888 bytes (3.3 GB, 3.0 GiB) copied, 314 s, 10.4 MB/s
3282173952 bytes (3.3 GB, 3.1 GiB) copied, 315 s, 10.4 MB/s
3293184512 bytes (3.3 GB, 3.1 GiB) copied, 316 s, 10.4 MB/s
3303506432 bytes (3.3 GB, 3.1 GiB) copied, 317 s, 10.4 MB/s
3314607616 bytes (3.3 GB, 3.1 GiB) copied, 318 s, 10.4 MB/s
3324506624 bytes (3.3 GB, 3.1 GiB) copied, 319 s, 10.4 MB/s
3335243776 bytes (3.3 GB, 3.1 GiB) copied, 320 s, 10.4 MB/s
3344942592 bytes (3.3 GB, 3.1 GiB) copied, 321 s, 10.4 MB/s
3355914240 bytes (3.4 GB, 3.1 GiB) copied, 322 s, 10.4 MB/s
3365148672 bytes (3.4 GB, 3.1 GiB) copied, 323 s, 10.4 MB/s
3375767552 bytes (3.4 GB, 3.1 GiB) copied, 324 s, 10.4 MB/s
3386798080 bytes (3.4 GB, 3.2 GiB) copied, 325 s, 10.4 MB/s
3397528576 bytes (3.4 GB, 3.2 GiB) copied, 326 s, 10.4 MB/s
3408321536 bytes (3.4 GB, 3.2 GiB) copied, 327 s, 10.4 MB/s
3419013632 bytes (3.4 GB, 3.2 GiB) copied, 328 s, 10.4 MB/s
3428862976 bytes (3.4 GB, 3.2 GiB) copied, 329 s, 10.4 MB/s
3439411712 bytes (3.4 GB, 3.2 GiB) copied, 330 s, 10.4 MB/s
3450377216 bytes (3.5 GB, 3.2 GiB) copied, 331 s, 10.4 MB/s
3460468736 bytes (3.5 GB, 3.2 GiB) copied, 332 s, 10.4 MB/s
3471114752 bytes (3.5 GB, 3.2 GiB) copied, 333 s, 10.4 MB/s
3481815552 bytes (3.5 GB, 3.2 GiB) copied, 334 s, 10.4 MB/s
3492250112 bytes (3.5 GB, 3.3 GiB) copied, 335 s, 10.4 MB/s
3502589952 bytes (3.5 GB, 3.3 GiB) copied, 336 s, 10.4 MB/s
